amount,category,date,description
425.60,7,2028-01-16,De-icer for walkways
222.50,8,2028-01-19,Indoor herb garden kit
700.90,1,2028-01-22,Winter stew ingredients
435.70,2,2028-01-25,Indoor rock climbing session
725.90,3,2028-01-28,Warm throw blanket
477.00,4,2028-01-31,Headlight restoration
850,1,2023-08-01,Weekly groceries
120,2,2023-08-01,Movie tickets
45,4,2023-08-01,Public transport
300,5,2023-08-02,Doctor visit
75,1,2023-08-02,Supermarket run
220,3,2023-08-03,Home supplies
80,2,2023-08-03,Dining out
150,7,2023-08-04,Electricity bill
95,1,2023-08-04,Farmer's market
180,2,2023-08-04,Concert tickets
65,4,2023-08-05,Ride sharing
420,5,2023-08-05,Pharmacy
110,1,2023-08-06,Grocery delivery
35,2,2023-08-06,Coffee shop
200,3,2023-08-07,Cleaning products
90,1,2023-08-07,Snacks
135,7,2023-08-07,Internet bill
250,6,2023-08-08,Online course
85,1,2023-08-08,Bakery
70,2,2023-08-08,Lunch out
180,4,2023-08-09,Gasoline
95,1,2023-08-09,Dairy products
320,5,2023-08-10,Dental checkup
55,2,2023-08-10,Streaming service
140,3,2023-08-11,Kitchenware
110,1,2023-08-11,Vegetables
75,7,2023-08-12,Water bill
210,8,2023-08-12,Miscellaneous
90,1,2023-08-13,Beverages
45,2,2023-08-13,Snacks
160,4,2023-08-14,Car maintenance
280,5,2023-08-14,Eye exam
115,1,2023-08-15,Meat products
65,2,2023-08-15,Happy hour
190,3,2023-08-16,Home decor
125,1,2023-08-16,Fruits
85,7,2023-08-17,Phone bill
240,6,2023-08-17,Books
95,1,2023-08-18,Pantry items
50,2,2023-08-18,Takeout
170,4,2023-08-19,Public transport
310,5,2023-08-19,Prescription
105,1,2023-08-20,Frozen foods
40,2,2023-08-20,Cinema
200,3,2023-08-21,Laundry supplies
135,1,2023-08-21,Bread
95,7,2023-08-22,Gas bill
220,8,2023-08-22,Gifts
85,1,2023-08-23,Canned goods
60,2,2023-08-23,Bar
150,4,2023-08-24,Taxi
290,5,2023-08-24,Therapy
120,1,2023-08-25,Organic produce
55,2,2023-08-25,Brunch
180,3,2023-08-26,Toiletries
130,1,2023-08-26,Spices
75,7,2023-08-27,Trash service
230,6,2023-08-27,Workshop
90,1,2023-08-28,Condiments
50,2,2023-08-28,Drinks
160,4,2023-08-29,Bike repair
300,5,2023-08-29,Vitamins
110,1,2023-08-30,Dry goods
70,2,2023-08-30,Dinner
200,3,2023-08-31,Detergents
140,1,2023-09-01,Juices
85,7,2023-09-01,Cable bill
240,6,2023-09-02,Magazines
95,1,2023-09-03,Crackers
50,2,2023-09-03,Ice cream
170,4,2023-09-04,Bus fare
310,5,2023-09-04,Medicine
105,1,2023-09-05,Cereal
40,2,2023-09-05,Arcade
200,3,2023-09-06,Light bulbs
135,1,2023-09-07,Milk
95,7,2023-09-07,Internet
220,8,2023-09-08,Donation
85,1,2023-09-09,Flour
60,2,2023-09-09,Bowling
150,4,2023-09-10,Train
290,5,2023-09-10,Checkup
120,1,2023-09-11,Eggs
55,2,2023-09-11,Theater
180,3,2023-09-12,Curtains
130,1,2023-09-13,Yogurt
75,7,2023-09-13,Heating
230,6,2023-09-14,Textbook
90,1,2023-09-15,Cheese
50,2,2023-09-15,Karaoke
160,4,2023-09-16,Oil change
300,5,2023-09-16,First aid
110,1,2023-09-17,Pasta
70,2,2023-09-17,Mini golf
200,3,2023-09-18,Vacuum
140,1,2023-09-19,Butter
85,7,2023-09-20,Sewage
240,6,2023-09-21,Notebook
95,1,2023-09-22,Jam
50,2,2023-09-22,Park
170,4,2023-09-23,Subway
310,5,2023-09-23,Painkillers
105,1,2023-09-24,Honey
40,2,2023-09-24,Zoo
200,3,2023-09-25,Broom
135,1,2023-09-26,Sugar
95,7,2023-09-27,Recycling
220,8,2023-09-28,Charity
85,1,2023-09-29,Salt
60,2,2023-09-29,Pool
150,4,2023-09-30,Ferry
290,5,2023-09-30,Bandages
120,1,2023-10-01,Olive oil
55,2,2023-10-01,Museum
180,3,2023-10-02,Bucket
130,1,2023-10-03,Vinegar
75,7,2023-10-04,Garbage
230,6,2023-10-05,Pencils
90,1,2023-10-06,Pepper
50,2,2023-10-06,Aquarium
160,4,2023-10-07,Plane
300,5,2023-10-07,Antibiotics
110,1,2023-10-08,Rice
70,2,2023-10-08,Carnival
200,3,2023-10-09,Mop
140,1,2023-10-10,Flakes
85,7,2023-10-11,Dish soap
240,6,2023-10-12,Calculator
95,1,2023-10-13,Mayo
50,2,2023-10-13,Billiards
170,4,2023-10-14,Scooter
310,5,2023-10-14,Cough syrup
105,1,2023-10-15,Oats
40,2,2023-10-15,Picnic
200,3,2023-10-16,Sponge
135,1,2023-10-17,Ketchup
95,7,2023-10-18,Laundry
220,8,2023-10-19,Tip
85,1,2023-10-20,Mustard
60,2,2023-10-20,Fair
150,4,2023-10-21,Boat
290,5,2023-10-21,Inhaler
120,1,2023-10-22,Beans
55,2,2023-10-22,Casino
180,3,2023-10-23,Gloves
130,1,2023-10-24,Lentils
75,7,2023-10-25,Shampoo
230,6,2023-10-26,Ruler
90,1,2023-10-27,Syrup
50,2,2023-10-27,Bingo
160,4,2023-10-28,Helmet
300,5,2023-10-28,Tablets
110,1,2023-10-29,Quinoa
70,2,2023-10-29,Circus
200,3,2023-10-30,Duster
140,1,2023-10-31,Flour
85,7,2023-11-01,Toothpaste
240,6,2023-11-02,Stapler
95,1,2023-11-03,Corn
50,2,2023-11-03,Darts
170,4,2023-11-04,Skateboard
310,5,2023-11-04,Antiseptic
105,1,2023-11-05,Barley
40,2,2023-11-05,Puppet show
200,3,2023-11-06,Spray
135,1,2023-11-07,Ketchup

